index,name,address,phone,website,description
Moore Street Cafe,Moore Street Cafe,"2904 W Moore St, Richmond, VA 23230, United States",(804) 359-5970,http://www.moorestreetcafe.com/,"We recommend Moore Street Cafe! 
Tucked away in the heart of Richmond's Northside, Moore Street Cafe is a hidden gem serving some of the city's tastiest Southern fare. This casual family-owned spot is most famous for its all-day breakfast menu, which features classics like Corned Beef Hash and Eggs, country fried steak, and their signature Chipped Beef on Toast. Don’t let the exterior fool you; inside, you’re greeted by a warm atmosphere, friendly staff, and a hot plate of your newly found comfort food. For dinner, your wallet will thank you, with the price range for two costing around $20 - $30."
SBs Main Street Love Shack,SB's Main Street Love Shack,"2600 W Main St, Richmond, VA 23220, United States",(804) 214-4222,http://sbs-love-shack.com/,"We recommend SBs Love Shack on Main!
Proudly taking its place in Richmond's beloved Fan District, SBs Love Shack on Main delights with a melting pot of global flavors twisted into American classics. With scrumptious delicacies like the hot fried chicken bao buns, truffle parmesan fries, buffalo cauliflower, and a plethora of craft beers in rotation, this quirky little gem basks in its unique culinary flair. Their commitment to experimentation and taste makes every meal an exciting and mouth-watering adventure. A dinner for two will easily fit into a budget of $30 – $50. Enjoy this culinary trip without leaving Richmond!"
Nates Bagels,Nate's Bagels,"21 S Allen Ave, Richmond, VA 23220, United States",(804) 939-5310,http://www.natesbagelsrva.com/,"We recommend Nate's Bagels!
Nestled in the heart of RVA's Carytown district, Nate's Bagels dishes out freshly baked, top-notch bagels with a delightful range of homemade spreads and sandwich options to the denizens of Richmond, VA. These are not your run-of-the-mill bagels, but hand-rolled, boiled, and baked in small batches daily, a process which gives these doughy delights just the right amount of chewiness. Their house-cured lox and chorizo bagel sandwiches are standout favorites, making a bagel here more than just a breakfast staple. For a dinner for two at Nate's Bagels, you're looking at a modest price range of $20 - $30."
Joes Inn In The Fan,Joe's Inn the Fan,"205 N Shields Ave, Richmond, VA 23220, United States",(804) 355-2282,http://www.joesinnrva.com/,"We recommend Joe's Inn in the Fan!
This staple of the Fan District neighborhood shines as a beacon for delicious comfort food. Serving a little bit of everything, their Spaghetti topped with their signature marinara and choice of protein is one of those dishes that keeps customers returning again and again. With their heaping portions, you won't leave the table without feeling full and satisfied. Prices are surprisingly affordable, with a dinner for two typically falling in the $28 - $35 range. Be prepared for a nostalgic comfort food journey worth every penny."
Union Market,Union Market,"2306 Jefferson Ave, Richmond, VA 23223, United States",(804) 716-7233,http://unionmarketrva.com/,"We recommend Union Market!
Situated in the heart of the historic Union Hill neighborhood, the Union Market is a beloved spot where food and community meet in astounding harmony. Known for their locally sourced, rustic fare, they specialize in mouth-watering dishes that truly capture the essence of Richmond's culinary scene. With a focus on seasonality, their menu continually sees a tide of innovation, offering delights such as the massively popular ricotta gnocchi, hearty sandwiches, and fresh salads. Loyal patrons swear by their excellent selection of Virginia craft beers and the creative cocktails that add a lively buzz to your meal. Reputed for offering quality dining at an accessible price, expect to shell out roughly $30 - $40 for an enjoyable dinner for two."
Kuba Kuba,Kuba Kuba,"1601 Park Ave, Richmond, VA 23220, United States",(804) 355-8817,http://www.kubakuba.info/,"We recommend Kuba Kuba! 
Nestled in the heart of Richmond’s lively Fan District, Kuba Kuba serves up an eclectic fusion of authentic Cuban and Spanish fare. From their much-celebrated paella to the renowned Tres Leches cake, every dish is a decadent escape to the Caribbean. Kuba Kuba is not only a mecca for food lovers, but also an emblem of cultural diversity in Richmond. Dinner costs generally fall in the bracket of $30 - $60 for two, promising a delectable encounter without a hefty price tag."
Coppolas Deli,Coppolas Deli,"2900 W Cary St, Richmond, VA 23221, United States",(804) 359-6969,http://www.coppolasdeli.com/,"We recommend Coppola’s Deli!
Located in the charming neighborhood of downtown Richmond, Coppola’s Deli is a must-visit for any sandwich aficionado out there. Putting a rich Italian twist on traditional deli delights, this establishment is renowned for its specialties like homemade corned beef, pastrami, and an array of scrumptious Italian subs. Not to mention, the divine gelatos that have become the sweet talk of the town. The faithful patrons of Coppola’s Deli simply can't get enough of the classic, reliable flavor it serves up consistently. A dinner for two here will cost in the range of $15 - $25, making it an affordable, yet delectable option."
LOpossum,L'Opossum,"626 China St, Richmond, VA 23220, United States",(804) 918-6028,http://www.lopossum.com/,"We recommend L'Opossum!
Tucked away in Richmond’s charming Oregon Hill neighborhood is a culinary diamond in the rough - L'Opossum. This chic and eccentric eatery is renowned for its imaginative southern-inspired dishes with a twist - think French Phoque Filet Mignon to Swank Bank Scallops. Its specialties also include an array of truly unique vegetarian options and mouth-watering desserts. With the creativity bursting from each plate, it's no wonder L'Opossum has been awarded AAA’s 4-Diamond rating. For a dinner for two, anticipate investing between $80 to $100, making this a perfect spot for your next special occasion dining experience."
Stellas,Stella's,"1012 Lafayette St, Richmond, VA 23221, United States",(804) 358-2011,http://www.stellasrichmond.com/,"We recommend Stella's!
Nestled in the historic neighborhood of Malvern Gardens, Stella’s transports you to Greece with its authentic tastes and aromas. This Richmond gem, recognized for its authentic Greek cuisine, serves mouth-watering dishes such as Spanakopita, Dolmades, Moussaka, and a variety of expertly grilled fish. With this culinary trip to the Mediterranean, you can experience the diverse tastes of Hellenic traditional cooking right here in Richmond. Set aside about $30 - $40 per person for dinner as you get ready to savor this Greek treat wrapped in a warm, rustic atmosphere."
Alewife,Alewife,"3120 E Marshall St, Richmond, VA 23223, United States",(804) 325-3426,https://www.alewiferva.com/,"We recommend Alewife!
Located in the heart of the Church Hill neighborhood, Alewife is serving up seafood dishes with a bold twist. With a menu that evokes the spirit of the Chesapeake Bay, Alewife's dedication to fresh, sustainable seafood and tantalizing flavor combinations have earned them a James Beard nomination. Noteworthy dishes include mid-Atlantic fish dishes like rockfish and flounder. But don't overlook their earthy, belly-warming sides that round out a meal perfectly. Expect to spend in the range of $70-$90 for a dinner for two."
Edos Squid,Edo's Squid,"411 N Harrison St, Richmond, VA 23220, United States",(804) 864-5488,http://edossquidrva.com/,"We recommend Edos Squid!
Situated in the vibrant Fan District of Richmond, Edos Squid is a cradle of Italian cuisine and seafood indulgence. Known for its extensive seafood offerings, tempting pasta dishes and enviable wine list, Edos Squid is a gastronomic delight where flavors of Italian cuisine intersect with the freshest seafood from the Atlantic. A hotspot not just for foodies, but for anyone who enjoys imaginative and delectable dishes served in an artistic, laid-back atmosphere. Plan on spending anywhere from $60 - $80 for a scrumptious dinner for two."
Grisette,Grisette,"3119 E Marshall St, Richmond, VA 23223, United States",(804) 562-6207,https://www.grisetterva.com/,"We recommend Grisette!
Nestled in the heart of Richmond’s historic Church Hill neighborhood, Grisette is serving up French-inspired cuisine with a delightful Southern twist. Their impressive commitment to locally sourced produce and stylish execution of French classics, like Duck Confit and Ratatouille, elevates dining to a sublime art form. The pricing is surprisingly approachable with the cost of an evening of indulgence hovering around $50 - $70 for a dinner for two."
LUNCH.SUPPER!,LUNCH.SUPPER!,"1215 Summit Ave, Richmond, VA 23230, United States",(804) 353-0111,http://lunchorsupper.com/,"We recommend LUNCH.SUPPER!
In the vibrant heart of Richmond's Scott's Addition neighborhood, LUNCH.SUPPER! is serving up southern comfort with a twist. This dual concept eatery prides itself on supporting local farms, serving up seasonal, farm-to-table cuisine in a relaxed and comfortable atmosphere. With specialties like the 'Supper' Truffle Mac 'N Cheese and the Fried Green Tomato BLT, there’s something to cater to every culinary craving. For a hearty dinner, expect to spend around $30 - $40 for two. This spot is an RVA gem not to be overlooked!"
Millies Diner,Millie's Diner,"2603 E Main St, Richmond, VA 23223, United States",(804) 643-5512,https://www.milliesdiner.com/?y_source=1_NTY4MzIxNzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"We recommend Millies Diner! 
Nestled in the dynamic community of the East End district, Millies Diner serves up inspiration from around the world with a passion for American and internationally fused cuisine. Known particularly for their award-winning brunch offerings like eggs benedict and huevos rancheros, dinner at Millies is no less enticing with specialties like pan roasted sea scallops and grilled New York strip steak adorning the menu. With a price range of around $50 - $70, an evening at this Richmond establishment promises an immersive culinary experience worth every penny."
Intergalactic Tacos,Taco Bar,"1804 Broad Rock Blvd, Richmond, VA 23224, United States",(804) 447-4313,https://www.facebook.com/TacoBar.RichmondVa/?eid=ARCzA2iJsV3b67_312DwoAvGQKSmRCwFNUfa-yRqrO94FBbp93dRByVaOfK8hvy7m6xyzWGyauQyn_qf,"We recommend Intergalactic Tacos! 
Positioned just a block away from the buzzing VCU campus, Intergalactic Tacos is an otherworldly gastronomic delight residing in the Carver district. Known for its unique take on the humble taco, the restaurant dishes up stellar global-fusioned delight, with a menu buoyed by satisfying options like the Korean BBQ pork or the Thai-inspired shrimp tacos. From the ingredients to presentation, every element is curated to stimulate the senses, propelling patrons on a culinary journey through the cosmos. With the cost of a dinner for two orbiting around the $20 - $30 range, the intergalactic expedition most certainly won't break the bank."
River City Wood Fire,River City Wood Fire,"2300 Genito Rd, Powhatan, VA 23139, United States",(804) 635-8008,http://rivercitywoodfire.com/,"We recommend River City Wood Fire! 
As a standout gem located in Richmond's culturally vibrant Humboldt Park, River City Wood Fire satisfies with a sizzling twist on traditional pizza. Deploying a mobile oven, this food truck whips up gourmet, wood-fired pizzas that are charred to perfection, imbuing an irresistible, smoky note into their masterpieces. Each pie is crafted with a commitment to local, fresh ingredients, yielding a taste that is distinct and full of personality. Pizza purists and adventurous foodies alike will find delight in their offerings. A dinner will typically cost between $20 - $30, proving that you don't need to bust the bank to enjoy a slice of culinary heaven."
error111,1115 (Eleven Fifteen),Not found,Not found,Not found,"We recommend 1115 (Eleven Fifteen)!
Tucked away in the Museum District, this stylish eatery serves up a thoroughly modern cuisine with a Southern twist. 1115 takes pride in curating a menu filled with locally-sourced ingredients and Richmond’s culinary traditions, promising both delight and discovery for the taste buds. Diners can enjoy dishes like oyster mushrooms with Japanese eggplant or roasted chicken in a butternut squash cream sauce. Costs vary, but a meal for two can typically fall within a range of $80 to $120, making it an excellent choice for a special occasion."
Blanchards,Blanchard's Coffee Broad Street,"3121 W Broad St, Richmond, VA 23230, United States",(804) 310-2845,https://blanchardscoffee.com/pages/blanchards-broad-street,"We recommend Blanchards! 
A gem in Richmond's thriving West End district, Blanchards offers a curated selection of cuisines that highlight the local tastes of the season. They have a flair for fresh, aromatic coffee and specialty house roasts that can awaken the senses of even the most discerning palates. Blanchards also boasts their line of sustainable options that are both eco-friendly and delicious, establishing a niche for food and coffee lovers who also care for the environment. Depending on your selected options, you can expect to spend approximately $30 - $60 for a dinner for two."
Auntie Nings,Auntie Ning's Filipino Food (Located Inside Of Chef Suite),"4711 W Broad St, Richmond, VA 23230, United States",(804) 215-3814,Not found,"We recommend Auntie Ning's!
This cozy restaurant lays nestled in the heart of Richmond's happening Scott's Addition neighborhood, Auntie Ning's is your destination for an authentic Filipino feast. The menu shines with house specialties, from authentic adobo to fantastic pancit, giving patrons a bite of the Philippines in every dish. The flavors are as unique and vibrant as RVA itself, unapologetically capturing the essence of Filipino cuisine. For a dinner for two, you're looking at a reasonably priced range of $30 - $50. The taste of Manila has never been closer!"
Sub Rosa,Sub Rosa Bakery,"620 N 25th St, Richmond, VA 23223, United States",(804) 788-7672,http://www.subrosabakery.com/,"We recommend Sub Rosa Bakery!
Within the heart of Richmond's historic Church Hill neighborhood, Sub Rosa Bakery offers a culinary defection to Old World Europe. Known for their wood-fired, handcrafted breads and pastries made from grain milled on-site, Sub Rosa Bakery is an artisan testament to the tradition of baking. From flaky croissants to rich tarts, Sub Rosa is serving up a symphony of flavors with European finesse. For aromatic breads, exquisite pastries, and a selection of coffees and teas, expect to spend around $15 - $25 per person."
Lamplighter Coffee Roasters,Lamplighter Coffee Roasters - Addison St,"116 S Addison St, Richmond, VA 23220, United States",(804) 728-2292,https://www.lamplightercoffee.com/,"We recommend Lamplighter Coffee Roasters! 
Resting elegantly in Scott's Addition, Lamplighter Coffee Roasters is an embodiment of the essence of specialty coffee and handcrafted food. Their expertly brewed craft coffee and a variety of savory and sweet breakfast and lunch options like the famous avocado toast and vegan chorizo burrito make them a beloved choice. With a passion for sourcing ethically grown and locally processed food products, Lamplighter provides a genuinely thoughtful dining experience. Your bill for a meal for two should average around $20 - $30."
Sugar and Twine,Sugar & Twine,"2928 W Cary St, Richmond, VA 23221, United States",(804) 204-1755,http://www.sugartwine.com/,"We recommend Sugar and Twine! 
Located in the heart of Richmond’s bustling Carytown district, Sugar and Twine specializes in pleasuring your sweet tooth while providing a comforting, friendly atmosphere. With an impressive array of homemade pastries, elaborate cakes, and flavorful coffee, this charming bakery and café is much more than a pit-stop - it’s a haven for those seeking warmth and authenticity. Couple that with the soul-soothing ambiance and you’d know why Sugar and Twine is an essential part of Carytown’s vibrant culinary landscape. The price range is rather accessible, with a typical dinner for two costing around $20 - $30."
Stir Crazy Cafe,Stir Crazy Cafe RVA,"4015 MacArthur Ave, Richmond, VA 23227, United States",(804) 864-0264,http://www.stircrazycaferva.com/,"We recommend Stir Crazy Café!
Situated in the historic Northside neighborhood of Richmond, Stir Crazy Café has long been an RVA favorite, attracting both locals and visitors with its distinct artisan coffee and hearty eats. Notorious for their soul-warming coffee concoctions and an array of delectable baked goods, Stir Crazy Café lets you savor the rich depth of flavor in every sip and bite. And if that's not enough to draw you in, the café's creative takes on breakfast and lunch will surely seal the deal. Dinner for two at Stir Crazy café will typically run about $20-$30. Trust us, every penny is worth it."
Capriccios Italian Restaurant,Capriccios Italian Restaurant,"9127 W Broad St, Henrico, VA 23294, United States",(804) 346-0184,https://www.capricciostogo.com/,"We recommend Capriccio's Italian Restaurant!
Nestled in Richmond's charming Northside, Capriccio's Italian Restaurant is your go-to destination for a mouthwatering mix of traditional and modern Italian cuisine. With specialties such as Veal Marsala, Chicken Parmigiana, and Tiramisu, they offer a distinct culinary experience that leaves diners ecstatic for more. Utilizing locally sourced ingredients, Capriccio's dishes present a delightful homage to its Italian roots, seasoned with a hint of Richmond charm. When it comes to the cost, a dinner for two here would usually range from $50-$70."
Bottoms Up Pizza,Bottoms Up Pizza,"1700 Dock St, Richmond, VA 23223, United States",(804) 644-4400,http://bottomsuppizza.com/,"We recommend Bottoms Up Pizza!
Bottoms Up Pizza is your must-visit spot when you find yourself in Richmond’s vibrant Shockoe Bottom neighborhood, luring visitors in with its illustrious charm and mouthwatering fare right from the cobblestone streets. Renowned for their massive slices and rich, deep-dish style crust, Bottoms Up Pizza takes culinary innovation up a few notches by topping it off with tasty, locally sourced ingredients to boot. Just as tantalizing are their delicious pasta dishes and exciting takes on classic subs. With dinner prices landing around the $30 - $40 range for two, you definitely get more than your money's worth in perennially popular pizza heaven."
Pupatella,Pupatella,"1 N Morris St, Richmond, VA 23220, United States",(804) 355-3135,http://pupatellarva.com/menu-and-hours/,"We recommend Pupatella!
Situated in the vibrant neighborhood of Westwood, Richmond, Pupatella promises an authentic Neapolitan pizza experience. It churns out pies with an artisanal touch, utilizing simple, fresh ingredients and time-perfected techniques. Ever since it opened, Pupatella has been leaving its mark in the RVA's pizza scene with its Naples-street-food inspired menu. Besides mouthwatering pizza, their selection also includes traditional Italian fare like sandwiches and gelato, all at a price that won't bust your budget. You can expect to spend approximately $30 - $40 for a dinner for two."
Cabo Fish Taco,Cabo Fish Taco,"3022 W Broad St, Richmond, VA 23230, United States",(804) 998-2226,http://www.cabofishtaco.com/rva,"We recommend Cabo Fish Taco!
Tucked away in the bustling Fan District, Cabo Fish Taco brings a taste of Baja California to Richmond with its vibrant coastal cuisine. Known for their deliciously fresh seafood dishes, this eatery specializes in their namesake fish tacos, offering an array of locally sourced ingredients and flavors to give taco enthusiasts a beach-front dining experience, right in the heart of RVA. The restaurant's chill, island-inspired vibe pairs perfectly with their diverse menu. Diners can expect to spend anywhere from $20 to $40 for an enthralling dinner for two."
Chicano Boy Taco,Chicano Boy Taco,"2003 Huguenot Rd Suite 102, North Chesterfield, VA 23235, United States",(804) 562-3183,http://www.chicanoboytaco.com/,"We recommend Chicano Boy Taco!
Positioned in the vibrant scene of Richmond's Union Hill neighborhood, Chicano Boy Taco serves up southwestern style burritos and bowls that pack a punch. Not your ordinary taco joint, this eatery prides itself on offering unique fusion options like the kimchi-fried rice bowls alongside traditional loaded nachos. With its fresh ingredients and true-to-the-area flavors, it’s not a surprise that this hotspot is a choice among locals when taco cravings kick in. A dinner for two will typically run you $20 - $30, making it both delicious and budget-friendly."
Wong Gonzalez,Wong Gonzalez,"412 E Grace St, Richmond, VA 23219, United States",(804) 788-9000,http://www.wonggonzalez.com/,"We recommend Wong Gonzalez!
Tucked into the heart of Richmond’s bustling downtown, Wong Gonzalez is an unforgettable fusion of Chinese and Mexican dishes. They've crafted a menu that blends the spicy, subtle, and savory tastes of the Far East with the bold and fiery zest of Mexico. Entrees like 'Sweet and Sour Shrimp Fajitas' and 'Szechuan Steak Tacos' are sure to intrigue and delight your palate! Expect a dinner for two to cost in the ballpark of $40 - $60 range. Come experience the brainchild of two diverse culinary traditions at Wong Gonzalez."
The Franklin inn,The Franklin Inn,"800 N, Cleveland St, Richmond, VA 23221, United States",(804) 716-9493,http://www.thefranklinrva.com/,"We recommend dining at The Franklin Inn! 
Resting comfortably in the heart of historic Northside, experience distinctive dining at this Richmond staple. The Franklin Inn presents its diners with old-world charm and classic American fare, embodying the city's foundational roots. Known especially for its homemade crab cakes and prime steaks, this cozy inn-turned-eatery offers a gracious, unhurried, yet refined dining experience. Plan to invest $50 - $75 for a meal for two at this delightful neighborhood gem."
Boulevard Burger and Brew,Boulevard Burger and Brew,"1300 N Arthur Ashe Blvd, Richmond, VA 23230, United States",(804) 367-3838,http://www.boulevardburgerandbrew.com/,"We recommend Boulevard Burger and Brew! Nestled in the vibrant neighborhood of the Museum District, Boulevard Burger and Brew is a nostalgic retreat that pays homage to classic American fare. Its culinary prowess shines through with specialty burgers, vintage sodas, hearty milkshakes, and the exquisite selection of craft brews that is as refreshing as it is extensive. The star on their menu, however, is the aptly named ""Boulevard"" burger, a mouthwatering masterpiece topped with a fried egg. A dinner here will run you between $25-35 for two, making it a perfect spot for both casual get-togethers and romantic burger dates. So hit up Boulevard Burger and Brew, where each bite echoes Richmond's inimitable spirit!"
Burger Bach,Burger Bach,"3426 W Cary St, Richmond, VA 23221, United States",(804) 359-1305,http://www.burgerbach.com/,"We recommend Burger Bach!
Located in the heart of Carytown, Burger Bach is the local answer to gourmet burger cravings. This New Zealand-inspired Gastropub specializes in farm-to-table, grass-fed beef burgers and raw bar offerings. Don’t be surprised to find an array of unique gouda and bleu cheese toppings along with an extensive selection of craft beers and wines to step up your standard burger experience. A dinner for two at Burger Bach may run you around the range of $20 - $30, making it a moderately-priced dining treat."
LEVEL,LEVEL Restaurant & Bar,"2007 W Broad St, Richmond, VA 23220, United States",(804) 353-8885,http://www.levelsushi.com/,"We recommend LEVELNext!
Sprawling in the heart of Richmond's historical neighborhood of Shockoe Bottom, LEVELNext is an unmissable culinary hotspot for soul food lovers. They leverage their passion for soul food and infuse it with a modern twist. The specialties of restaurant include delectable options like Crab Benny - a new take on eggs benedict, as well as traditional comfort foods like shrimp and grits. For fried chicken enthusiasts, their version stands out on the speciality list. With flavorful sides and craft cocktails, LEVELNext sets the bar high for soul food dining. Dinners here typically range between $30 and $40 for two, making it a reasonably priced foodie paradise."
Sen Organic Small Plate,Sen Organic Small Plate,"2901 W Cary St, Richmond, VA 23221, United States",(804) 355-0736,https://www.senorganicsmallplate.com/,"We recommend Sen Organic Small Plate!
Nestled in the heart of the Carytown district, Sen Organic Small Plate elegantly garners Richmond's food scene with a unique and sophisticated touch. Specializing in French-Vietnamese fusion cuisine, this restaurant adopts an organic and locally-sourced approach to every small plate. Crispy vegan spring rolls, green mango salad, and the decadent, gluten-free Banh Xeo are just a few highlights from an impressively curated menu. Anticipate an evening of delightful dining without havoc on your wallet, as a nourishing dinner for two is typically in the $30 - $50 range."
Vietnam 1,Vietnam One,"6215 W Broad St # B, Richmond, VA 23230, United States",(804) 289-3838,Not found,"We recommend Vietnam 1!
Tucked in the suburban oasis of Tuckahoe, Vietnam 1 is a top player in Richmond's vibrant food scene. Offering an authentic voyage into Vietnamese cuisine, Vietnam 1 has a special flair for delicately assembled pho, crisp spring rolls, and succulent grilled pork chops. The aromatic broth of their pho has the power to enchant any patron, while the perfectly balanced flavors of their other dishes create a symphony of taste. A dinner for two at this hidden gem will likely fall within the $20 - $30 range. You're in for a treat without going overboard on your budget."
NAMA - Indian Cuisine,NAMA - Indian Cuisine,"15 W Broad St, Richmond, VA 23220, United States",(804) 665-9450,http://www.namarva.com/,"We recommend NAMA - Indian Cuisine! 
Located in the vibrant Monroe ward neighborhood of Richmond, NAMA - Indian Cuisine has been expertly crafting mouthwatering dishes that perfectly capture the diverse and bold flavors of India. Known for their specialties such as Butter Chicken, Tandoori Kabab, and Garlic Naan, this culinary gem also offers vegetarian and gluten-free options, making it an inviting gastronomic journey for foodies of all dietary preferences. To enjoy an exquisite dinner for two, expect to be in the price bracket of about $30 - $50."
Palani Drive,Palani Drive,"401 Libbie Ave #1, Richmond, VA 23226, United States",(804) 285-3200,http://www.palanidrive.com/,"We recommend Palani Drive!
Palani Drive's access to healthful dining options makes it the gem of Richmond, VA. Located in the inviting Near West End neighborhood, this restaurant serves up a wave of fresh, flavorful dishes that feed the body and nourish the soul. Boasting an exciting menu that prioritizes nutritious, wholesome food, the specialties of this eatery include dishes like seared tuna salad and the Unwrap. For lovers of smoothies and weekend brunch, Palani Drive is undoubtedly a haven. An average dinner for two would set you back between $20 - $30, making it an affordable option for those seeking meals that don’t compromise on taste or quality."
Slurp Ramen,Slurp! Ramen,"2416 Jefferson Ave C1, Richmond, VA 23223, United States",(804) 322-7787,https://www.slurpramenrva.com/,"We recommend Slurp Ramen!
Nestled in the fashionable Fan District of Richmond, Slurp Ramen is a treasure for noodle lovers. Specializing in their namesake, this eatery has made a name for itself by combining fresh, local ingredients with traditional ramen techniques. Standout dishes include their Tonkotsu Ramen and Chicken Karaage, coming together to provide an authentic Japanese experience that bursts with flavor. Slurp Ramen shows that simplicity and precision can create an unforgettable culinary experience. A dinner for two at this noodle haven will generally cost you between $30 - $40."
Carytown Burgers and Fries,Carytown Burgers & Fries,"3449 W Cary St, Richmond, VA 23221, United States",(804) 358-5225,http://www.carytownburgers.com/,"We recommend Carytown Burgers and Fries! 
Tucked in Richmond’s lively downtown neighborhood of Carytown, this bustling joint has a reputation for whipping up some seriously mind-boggling burgers. With an entire menu dedicated to showcasing their love of the burger, Carytown Burgers and Fries is anything but ordinary. From hearty meat options to tantalizing veggie varieties, this spot has something to satisfy every palate. And let's not forget their equally impressive and indulgent range of fries. For a dinner experience that’s unique and delicious, expect to spend between $25 - $35. Dive in at Carytown Burgers and Fries and discover why it stands out among Richmond’s dining arene."
McLeans,McLean's Restaurant,"3205 W Broad St, Richmond, VA 23230, United States",(804) 358-0369,http://www.mcleansrestaurant.com/,"We recommend McLeans!
Tucked away in the quaint Museum District of Richmond, McLeans has held its corner with an enduring charm that spans over 50 years. Having mastered the heartwarming art of comfort food, this  local institution is known for its delicious homemade breakfast, lunch, and dinner options. From fluffy pancakes to signature meatloaf or fresh grilled Reubens, McLeans knows how to make your taste buds delighted. For a classic, sit-down dinner at McLeans, be prepared to spend between $20 - $30 for a satisfying meal for two."
McLeans Restaurant,McLean's Restaurant,"3205 W Broad St, Richmond, VA 23230, United States",(804) 358-0369,http://www.mcleansrestaurant.com/,"We recommend McLean's Restaurant! 
Nestled snugly in the charming neighborhood of Westham, McLean's Restaurant has been a staple in the Richmond dining scene for over 50 years. The restaurant stakes its reputation on serving hearty, down-to-earth comfort food, with breakfast served all day–think biscuits, gravy, and stacks of blueberry pancakes that melt in your mouth. Dinner favorites include their signature meatloaf and succulent fried chicken. The authentic, traditional flavor profiles of these dishes are absolute crowd-pleasers. Just like the food, the prices are comforting too, with a dinner for two typically setting you back about $30 - $40."
New York Deli,New York Deli,"2920 W Cary St, Richmond, VA 23221, United States",(804) 358-3354,http://www.ny-d.com/,"We recommend New York Deli!
Nestled in the historic Carytown district is Richmond's very own slice of the Big Apple, the New York Deli. This eatery pays homage to classic NYC delis with its Art Deco vibe and delectable offerings, which include their iconic New York-style Reuben and notoriously addictive potato knishes. Paired with a solid selection of craft beers, this spot screams Gotham through and through. A night out here will set you back in the vicinity of $30 - $40 for dinner for two."
Pinkys,Pinky's,"3015 Norfolk St, Richmond, VA 23230, United States",(804) 802-4716,https://www.pinkysrva.com/,"We recommend Pinkys!
Just a stone’s throw from Monroe Park in the heart of Richmond's thriving restaurant scene, Pinkys occupies a versatile niche. This VCU neighborhood gem specializes in flawlessly marrying international cuisine fare with American soul food flavor - dishing crowd-pleasers like espresso-rubbed short ribs and Spanish-inspired pasta with shrimp. It's not just the food that will keep you coming back, their impressive cocktail menu is a sip-worthy spectacle. For an extravagant dinner served with a dash of global flair, expect to spend around $60 to $80 for two."
Red Salt Chophouse and Sushi,Red Salt Chophouse and Sushi,"12221 W Broad St, Henrico, VA 23233, United States",(804) 360-8080,https://www.redsaltrva.com/,"We recommend Red Salt Chophouse and Sushi! In Richmond's bustling midtown district, Red Salt Chophouse and Sushi offers the best of both land and sea. With an exclusive focus on prime steaks and a creative and visually striking sushi menu, this restaurant dishes out something for every taste. Their dry aged ribeye and the dynamite roll are highlights from their replete menu. With tastefully intimate decor and a carefully curated wine list, Red Salt Chophouse and Sushi effortlessly impresses. Expect a dinner for two to be in the region of $100 - $150."
Godfreys,Godfrey's,"308 E Grace St, Richmond, VA 23219, United States",(804) 549-9512,http://www.godfreysva.com/,"We recommend Godfrey's! 
Nestled in the vibrant scene of Richmond's Monroe Ward neighborhood, Godfrey's has carved a unique niche for itself in the city's culinary scene, serving a diverse array of delectable Southern cuisine and a variety of show-stopping cocktails. Known for its outstanding brunch offerings and nighttime entertainment, Godfrey's offers an incomparable dining experience peppered with high-energy drag performances that RVA citizens adore. The restaurant flaunts its flair with popular drag performances, complete with mimosas and bloody marys. Dinner costs usually fall within the $30 - $50 range."
Helens,Helen’s Restaurant,"2527 W Main St, Richmond, VA 23220, United States",(804) 358-4370,http://www.helensrva.com/,"We recommend Helen's!
Situated in Richmond's historic Fan District, Helen's is a staple of the local dining scene with its long-standing norms and classic ambience. The restaurant is renowned for its upscale American cuisine with a focus on seasonal, locally sourced ingredients. When you step into Helen's, expect a blend of old-world charm and creative, contemporary flair in every dish. You'll be spoilt for choice with their exquisite menu that ranges from succulent steak to delicate seafood. A dinner for two at Helen's typically falls within the price range of $50 - $60, making it worth every penny for an unforgettable experience."
The Roosevelt,The Roosevelt,"623 N 25th St, Richmond, VA 23223, United States",(804) 658-1935,http://rooseveltrva.com/,"We recommend The Roosevelt!
Situated in the thriving neighborhood of Church Hill, The Roosevelt has set the culinary bar high with their Southern-inspired cuisine mixed with nods to Richmond's vibrant food scene. Exquisite dishes, such as their trademark foie gras PB&J and Virginia lump crab cakes, showcase the restaurant's dynamic approach to Southern classics. Providing an experience that intertwines gourmet dining with comforting familiarity, The Roosevelt is sure to capture the hearts and palates of Richmond foodies. Anticipate a dinner bill in the vicinity of $60 - $80 for two."
The Daily,The Daily Kitchen & Bar,"2934 W Cary St, Richmond, VA 23221, United States",(804) 342-8990,https://thedailykitchenandbar.com/,"We recommend The Daily! Located in the visual heart of Richmond's Carytown district, The Daily is best known for its sustainably sourced and locally procured selection of dishes with vegetarian and gluten-free options rounding out a menu dedicated to healthful living. From scrumptious veggie-stuffed tacos and delectable steak Au Poivre to the mouth-watering Pan-Roasted Salmon, you’ll find no shortage of culinary delights at The Daily. Anticipate a price range of $30 - $60 for a dinner for two, depending on your choice of wine from their comprehensive list."
